Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
,,,,,,,,,,,,,,,
2019,Johnathan Abram,Mississippi State,S,71,205,9.63,31.38,,4.45,,,116,,,
2019,Paul Adams,Missouri,OT,78,317,10,33.5,,5.18,16,27,103,7.68,4.74,
2019,Nasir Adderley,Delaware,S,72,206,9,31,,9.99,,,,9.99,9.99,
2019,Azeez Al-Shaair,Florida Atlantic,LB,73,234,9.5,32.38,,9.99,16,,,9.99,9.99,
2019,Otaro Alaka,Texas A&M,LB,75,239,9.75,33,,4.82,20,36,131,9.99,9.99,
2019,Dakota Allen,Texas Tech,LB,73,232,9.25,31.25,,4.77,23,31.5,116,6.88,4.04,
2019,Josh Allen,Kentucky,EDG,77,262,8.75,33.5,,4.63,28,,118,7.15,4.23,
2019,Zach Allen,Boston College,DE,76,281,10.13,34.75,,5,24,32,112,7.34,4.36,
2019,Bryson Allen-Williams,South Carolina,LB,73,236,9.75,31.5,,4.88,14,,,7.4,9.99,
2019,Jeff Allison,Frenso State (CA),LB,71,228,10,32.25,,4.82,12,31,115,7.2,4.45,
2019,Ugo Amadi,Oregon,S,69,199,9.5,31.75,,4.51,18,32.5,115,7.21,4.19,
2019,Rodney Anderson,Oklahoma,RB,72,224,9.75,30.75,,9.99,25,,,9.99,9.99,
2019,J.J. Arcega-Whiteside,Stanford,WR,74,225,9.5,33.25,,9.99,,,,9.99,9.99,
2019,Ryquell Armstead,Temple,RB,71,220,9.13,30.63,,4.45,22,30,114,7.02,4.29,
2019,Blessuan Austin,Rutgers,CB,73,198,10,32.5,,9.99,15,,,9.99,9.99,
2019,Jake Bailey,Stanford,P,73,200,8.75,30,,4.72,,33,117,9.99,9.99,
2019,Zack Bailey,South Carolina,OL,77,299,9.63,33,,9.99,24,28,103,9.99,9.99,
2019,Derrick Baity,Kentucky,CB,74,197,8.63,31.5,,9.99,10,38.5,127,7.06,4.31,
2019,Deandre Baker,Georgia,CB,71,193,9,32,,4.52,14,,118,9.99,9.99,
2019,Corey Ballentine,Washburn (KS),CB,71,196,9.5,31.63,,4.47,15,39.5,135,6.82,4.14,
2019,Ben Banogu,Texas Christian,EDG,75,250,9,33.63,,4.62,23,40,134,7.02,4.27,
2019,Alex Barnes,Kansas State,RB,72,226,10,31,,4.59,34,38.5,126,6.95,4.1,11.72
2019,Alex Bars,Notre Dame,OG,78,312,9.38,32.75,,9.99,,,,9.99,9.99,
2019,Cody Barton,Utah,LB,74,237,9.25,31.88,,4.64,30,32.5,116,6.9,4.03,11.47
2019,Jackson Barton,Utah,OT,79,310,9.25,34,,5.18,25,27,109,7.85,4.66,
2019,Ryan Bates,Penn State,OT,76,306,9.5,32.5,,5.09,28,27,102,7.45,4.53,
2019,John Battle,Louisiana State,S,72,201,9.63,31.75,,4.67,,29.5,120,7.09,4.33,
2019,Terry Beckner,Missouri,DT,76,296,8.63,32.25,,5.19,28,24.5,98,7.97,4.82,
2019,Mike Bell,Frenso State (CA),S,75,210,9.25,32.38,,4.83,10,30,118,7.1,4.46,
2019,Beau Benzschawel,Wisconsin,OG,78,309,9.63,33.38,,5.24,20,,,9.99,9.99,
2019,Marquise Blair,Utah,S,73,195,8.25,30.75,,4.48,,35,125,9.99,9.99,
2019,Kendall Blanton,Missouri,TE,78,262,10.38,33.75,,4.95,22,31,113,7.37,4.42,12.28
2019,Nick Bosa,Ohio State,DE,76,266,10.75,33,,4.79,29,33.5,116,7.1,4.14,
2019,Kris Boyd,Texas,CB,71,201,9,30.75,,4.45,19,36.5,127,6.94,4.08,
2019,Miles Boykin,Notre Dame,WR,76,220,9.88,33.5,,4.42,12,43.5,140,6.77,4.07,
2019,Garrett Bradbury,North Carolina State,C,75,306,10.5,31.75,,4.92,34,31,104,7.41,4.53,
2019,Tyre Brady,Marshall (WV),WR,75,211,9.75,33.63,,9.99,12,32,117,9.99,4.25,
2019,Jordan Brailford,Oklahoma State,EDG,75,252,9.13,32.5,,4.65,22,37.5,126,9.99,9.99,
2019,Nick Brossette,Louisiana State,RB,71,209,8.63,30,,4.72,15,35.5,118,7.38,4.44,
2019,A.J. Brown,Mississippi,WR,72,226,9.75,32.88,,4.49,19,36.5,120,9.99,9.99,
2019,Blace Brown,Troy (AL),CB,72,194,9.75,32,,4.75,14,,126,7.33,4.22,
2019,Jordan Brown,South Dakota State,CB,72,201,9.63,30.5,,4.51,13,39.5,128,9.99,9.99,
2019,Keenen Brown,Texas State,TE,74,250,9.88,34.5,,4.75,17,33,117,7.27,4.51,12.25
2019,Marquise Brown,Oklahoma,WR,69,166,9,30.5,,9.99,,,,9.99,9.99,
2019,Jake Browning,Washington,QB,74,211,9,32.5,,4.74,,29,112,7.19,4.44,
2019,Austin Bryant,Clemson,DE,76,271,9.63,34.63,,9.99,,,,9.99,9.99,
2019,Isaiah Buggs,Alabama,DT,75,306,9.25,31.25,,5.15,20,24.5,96,8.01,4.83,
2019,Sean Bunting,Central Michigan,CB,72,195,9.63,31.75,,4.42,14,41.5,126,9.99,9.99,
2019,Brian Burns,Florida State,EDG,77,249,10,33.88,,4.53,,36,129,7.01,9.99,
2019,Ben Burr-Kirven,Washington,LB,72,230,8.88,31.88,,4.56,21,34.5,121,6.85,4.09,11.43
2019,Devin Bush,Michigan,LB,71,234,9.63,32,,4.43,21,40.5,124,6.93,4.23,
2019,Emmanuel Butler,Northern Arizona,WR,75,217,10.13,33,,9.99,11,36,115,9.99,4.22,
2019,Hakeem Butler,Iowa State,WR,77,227,10.75,35.25,,4.48,18,36,128,9.99,9.99,
2019,Yodny Cajuste,West Virginia,OT,77,312,10,34,,9.99,32,,,9.99,9.99,
2019,Shaq Calhoun,Mississippi State,OG,74,310,10,33.13,,5.07,26,28.5,105,7.46,4.62,
2019,Parris Campbell,Ohio State,WR,72,205,9.5,32.25,,4.31,11,40,135,9.99,4.03,
2019,Malik Carney,North Carolina,EDG,74,251,9.88,33.38,,4.73,25,33,113,7.4,9.99,
2019,Blake Cashman,Minnesota,LB,73,237,8.75,30.13,,4.5,18,37.5,124,6.95,4.12,
2019,Hamp Cheevers,Boston College,CB,69,169,8.63,30.5,,4.52,8,39,122,6.96,4.25,
2019,Demarcus Christmas,Florida State,DT,75,294,9.13,32.75,,5.08,22,25.5,101,8.13,5.07,
2019,L.J. Collier,Texas Christian,DE,74,283,10,34,,4.91,25,30,118,7.71,4.78,
2019,John Cominsky,Charleston (WV),DE,77,286,9.75,33.5,,4.69,22,33.5,116,7.03,4.38,
2019,Te'Von Coney,Notre Dame,LB,73,234,9.5,32.88,,9.99,,,,9.99,9.99,
2019,Ryan Connelly,Wisconsin,LB,74,242,9.38,30.88,,4.66,,34.5,118,7.09,4.31,
2019,C.J. Conrad,Kentucky,TE,76,249,9.25,31,,9.99,,,,9.99,9.99,
2019,Byron Cowart,Maryland,DT,75,298,10,33.75,,5.16,26,30,111,9.99,9.99,
2019,Jonathan Crawford,Indiana,S,73,205,9.25,31.5,,9.99,16,31.5,115,9.99,9.99,
2019,Xavier Crawford,Central Michigan,CB,71,187,9,29.13,,4.48,11,37.5,,9.99,9.99,
2019,Maxx Crosby,Eastern Michigan,EDG,77,255,9.75,32.88,,4.66,,36,122,6.89,4.13,11.35
2019,Jamal Custis,Syracuse,WR,76,214,10.88,33.88,,4.5,,34.5,124,9.99,9.99,
2019,Dennis Daley,South Carolina,OT,77,317,9.5,33.38,,5.23,20,26.5,103,7.95,4.92,
2019,Davante Davis,Texas,CB,74,202,9.75,31.38,,4.57,14,37,125,6.76,4.15,
2019,Deshaun Davis,Auburn,LB,71,234,10,31.25,,9.99,25,31,111,9.99,4.38,
2019,Felton Davis,Michigan State,WR,75,211,10.25,32.75,,9.99,21,,,9.99,9.99,
2019,Jamal Davis,Akron,EDG,75,243,10.25,34.25,,4.6,19,39,122,7,4.44,11.78
2019,Nate Davis,North Carolina Charlotte,OG,75,316,9.5,33.13,,5.23,23,26,107,7.94,4.83,
2019,Ryan Davis,Auburn,WR,70,189,9.25,30.88,,9.99,12,35,124,7.09,4.23,
2019,Jamel Dean,Auburn,CB,73,206,9.13,31.75,,4.3,16,41,130,7.02,4.19,
2019,Michael Deiter,Wisconsin,OG,77,309,10.75,33.13,,5.23,21,28,105,7.88,4.81,
2019,Lukas Denis,Boston College,S,71,190,9.5,31.25,,4.64,16,33.5,116,6.89,4.09,11.42
2019,Andre Dillard,Washington State,OT,77,315,10,33.5,,4.96,24,29,118,7.44,4.4,
2019,D'Cota Dixon,Wisconsin,S,70,204,9.13,29.25,,4.81,20,33.5,119,9.99,9.99,
2019,Johnnie Dixon,Ohio State,WR,70,201,9.63,30.25,,4.41,16,37.5,120,9.99,4.43,
2019,Tyrel Dodson,Texas A&M,LB,72,237,9.13,31.75,,4.6,24,,118,9.99,9.99,
2019,Greg Dortch,Wake Forest,WR,67,173,9.25,29.25,,9.99,,,,9.99,9.99,
2019,Keelan Doss,UC-Davis,WR,74,211,9.5,31.75,,9.99,8,,,9.99,9.99,
2019,Ashton Dulin,Malone (OH),WR,73,215,9,33.38,,4.43,13,38,121,7,4.22,
2019,Jovon Durante,Florida Atlantic,WR,71,160,8.75,31.13,,4.55,,31.5,120,7,4.31,
2019,Chuma Edoga,Southern California,OT,75,308,9.63,34.75,,5.19,21,,,9.99,9.99,
2019,David Edwards,Wisconsin,OT,78,308,9.75,33.38,,5.28,,25.5,99,7.69,4.77,
2019,Mike Edwards,Kentucky,S,70,205,9.38,30.88,,9.99,,,,9.99,9.99,
2019,T.J. Edwards,Wisconsin,LB,72,230,9.38,31.25,,9.99,16,,,9.99,9.99,
2019,Emeke Egbule,Houston,LB,74,245,9.25,33,,4.65,20,33,119,7.38,4.38,
2019,Noah Fant,Iowa,TE,76,249,9.75,33.5,,4.5,20,39.5,127,6.81,4.22,11.49
2019,Rashad Fenton,South Carolina,CB,71,193,8.75,30.38,,4.52,12,34,117,9.99,4.25,
2019,Jazz Ferguson,Northwestern State (LA),WR,77,227,9.25,34.25,,4.45,8,37,123,7.25,4.59,
2019,Clelin Ferrell,Clemson,DE,76,264,10.5,34.13,,9.99,25,,,7.26,4.4,12.07
2019,Mark Fields,Clemson,CB,70,192,9.13,30.5,,4.37,18,,,9.99,9.99,
